"No.","Time","Source","Destination","Protocol","Length","Info"
"244","38.249704","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=42639 Win=129632 Len=0 TSval=596221082 TSecr=270163676"
"245","38.249714","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=44057 Win=131072 Len=0 TSval=596221082 TSecr=270163676"
"246","38.250172","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"247","38.250439","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"248","38.250442","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"249","38.250478","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=46893 Win=129632 Len=0 TSval=596221083 TSecr=270163676"
"250","38.250544","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"251","38.250557","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=48311 Win=131072 Len=0 TSval=596221083 TSecr=270163676"
"252","38.250648","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"253","38.250673","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=51147 Win=129632 Len=0 TSval=596221083 TSecr=270163676"
"254","38.250758","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"255","38.250864","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"256","38.250885","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=52565 Win=131072 Len=0 TSval=596221083 TSecr=270163676"
"257","38.251341","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"258","38.251347","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"259","38.251388","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"260","38.251404","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=55401 Win=129632 Len=0 TSval=596221083 TSecr=270163676"
"261","38.251405","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=58237 Win=126816 Len=0 TSval=596221083 TSecr=270163676"
"262","38.251624","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"263","38.251627","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"264","38.251629","216.58.194.164","192.168.11.20","TLSv1.2","93","Application Data"
"265","38.251664","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=61073 Win=123968 Len=0 TSval=596221084 TSecr=270163676"
"266","38.251664","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=61100 Win=123936 Len=0 TSval=596221084 TSecr=270163676"
"267","38.251842","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=2848 Ack=61100 Win=131072 Len=0 TSval=596221084 TSecr=270163676"
"268","38.261023","216.58.194.164","192.168.11.20","TLSv1.2","301","Application Data"
"269","38.261073","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=61335 Win=130816 Len=0 TSval=596221093 TSecr=270163688"
"270","38.261332","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"271","38.261360","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=62753 Win=129632 Len=0 TSval=596221093 TSecr=270163688"
"272","38.261926","216.58.194.164","192.168.11.20","TLSv1.2","1219","Application Data"
"273","38.261929","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
"274","38.261958","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=63906 Win=129888 Len=0 TSval=596221093 TSecr=270163688"
"275","38.261959","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=63944 Win=129856 Len=0 TSval=596221093 TSecr=270163688"
"276","38.262142","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"277","38.262170","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=63990 Win=131008 Len=0 TSval=596221094 TSecr=270163688"
"278","38.263078","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"279","38.266164","216.58.194.164","192.168.11.20","TLSv1.2","140","Application Data"
"280","38.266257","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2894 Ack=64064 Win=130976 Len=0 TSval=596221098 TSecr=270163693"
"281","38.266540","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
"282","38.266624","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2894 Ack=64102 Win=131008 Len=0 TSval=596221098 TSecr=270163694"
"283","38.295341","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"284","38.296541","192.168.11.20","216.58.194.164","TLSv1.2","382","Application Data"
"285","38.300448","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=64102 Ack=3210 Win=55808 Len=0 TSval=270163728 TSecr=596221094"
"286","38.324658","216.58.194.164","192.168.11.20","TLSv1.2","140","Application Data"
"287","38.324662","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
"288","38.324735","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3210 Ack=64176 Win=130976 Len=0 TSval=596221154 TSecr=270163752"
"289","38.324735","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3210 Ack=64214 Win=130944 Len=0 TSval=596221154 TSecr=270163752"
"290","38.324953","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"291","38.324988","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3210 Ack=64260 Win=131008 Len=0 TSval=596221154 TSecr=270163752"
"292","38.325528","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"293","38.371741","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=64260 Ack=3256 Win=55808 Len=0 TSval=270163759 TSecr=596221154"
"294","38.380441","192.168.11.20","216.58.194.164","TLSv1.2","223","Application Data"
"295","38.386204","192.168.11.20","216.58.194.164","TLSv1.2","259","Application Data"
"296","38.392377","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=64260 Ack=3413 Win=58112 Len=0 TSval=270163820 TSecr=596221208"
"297","38.392583","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=64260 Ack=3606 Win=60160 Len=0 TSval=270163820 TSecr=596221213"
"298","38.414386","216.58.194.164","192.168.11.20","TLSv1.2","140","Application Data"
"299","38.414434","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3606 Ack=64334 Win=130976 Len=0 TSval=596221240 TSecr=270163842"
"300","38.417069","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
"301","38.417073","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"302","38.417144","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3606 Ack=64372 Win=131008 Len=0 TSval=596221242 TSecr=270163842"
